Clip Index,Tag ID,Tag Time,Video Start (s),Clip Duration (s),Eject Time (s),Hold Time (s),Retract Time (s),Detected During Retract,Output File,Status
144,0,2026-04-27 23:55:21,20884.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0144.mp4,Saved
145,0,2026-04-27 23:55:45,20908.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0145.mp4,Saved
146,0,2026-04-27 23:56:03,20926.5,15.0,0.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0146.mp4,Saved
147,0,2026-04-27 23:56:20,20943.5,17.0,2.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0147.mp4,Saved
148,0,2026-04-27 23:57:07,20990.5,15.0,0.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0148.mp4,Saved
149,0,2026-04-28 00:26:44,22767.5,15.0,2.0,10.0,2.0,No,possible_feed_clips\bee_0\bee_0_feed_0149.mp4,Saved
150,0,2026-04-28 00:26:58,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
151,0,2026-04-28 00:27:00,22783.5,18.0,4.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0151.mp4,Saved
152,0,2026-04-28 00:28:57,22900.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0152.mp4,Saved
153,0,2026-04-28 01:07:21,25204.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0153.mp4,Saved
154,0,2026-04-28 01:55:54,28117.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0154.mp4,Saved
155,0,2026-04-28 02:10:06,28969.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0155.mp4,Saved
156,0,2026-04-28 03:46:15,34738.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0156.mp4,Saved
157,0,2026-04-28 03:46:30,34753.5,18.0,3.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0157.mp4,Saved
